Authors,Title,Year,Source title,Link,Document Type,Source,EID
"Shultz R.H.","U.S. Counterterrorism Operations during the Iraq War: A Case Study of Task Force 714",2016,"Studies in Conflict and Terrorism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003977159&doi=10.1080%2f1057610X.2016.1239990&partnerID=40&md5=3eacb51a59823e73e06529406c758c97",Article in Press,Scopus,2-s2.0-85003977159
"Isoto R.E., Sam A., Kraybill D.S.","Uninsured Health Shocks and Agricultural Productivity among Rural Households: The Mitigating Role of Micro-credit",2016,"Journal of Development Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001955440&doi=10.1080%2f00220388.2016.1262027&partnerID=40&md5=71d38249039627954cc490d45be4af9a",Article in Press,Scopus,2-s2.0-85001955440
"Edelman L.","An ethics of desubjectivation?",2016,"Differences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006823106&doi=10.1215%2f10407391-3696679&partnerID=40&md5=5b5ece6198f65f318200b832e6017216",Article,Scopus,2-s2.0-85006823106
"Rayner J., Yates T., Lantagne D., Joseph M.","Sustained effectiveness of automatic chlorinators installed in community-scale water distribution systems during an emergency recovery project in Haiti",2016,"Journal of Water Sanitation and Hygiene for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006922931&doi=10.2166%2fwashdev.2016.068&partnerID=40&md5=11c94365c287efb96120769e4cb29b27",Article,Scopus,2-s2.0-85006922931
"Art D.","Archivists and Adventurers: Research Strategies for Authoritarian Regimes of the Past and Present*",2016,"Social Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997235046&doi=10.1111%2fssqu.12348&partnerID=40&md5=3e03b601353f2c8574c46249bb7a9cc6",Article,Scopus,2-s2.0-84997235046
"Maxwell D., Majid N., Adan G., Abdirahman K., Kim J.J.","Facing famine: Somali experiences in the famine of 2011",2016,"Food Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006635369&doi=10.1016%2fj.foodpol.2016.11.001&partnerID=40&md5=a2f66c910e1abef7e75be95a47caceb7",Article,Scopus,2-s2.0-85006635369
"Burgess K.","Politics, Livelihoods, and Identities Across Borders",2016,"Latin American Politics and Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994061052&doi=10.1111%2flaps.12006&partnerID=40&md5=6b93f169dc6247ea9c191ddd43864407",Article,Scopus,2-s2.0-84994061052
"Mulmi P., Block S.A., Shively G.E., Masters W.A.","Climatic conditions and child height: Sex-specific vulnerability and the protective effects of sanitation and food markets in Nepal",2016,"Economics and Human Biology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980396085&doi=10.1016%2fj.ehb.2016.07.002&partnerID=40&md5=d6c6424fe869fd82528795a024e1bb0c",Article,Scopus,2-s2.0-84980396085
"Beninger P., Salem D.N., Boumil M.M., Jotwani R.","Medical Schools' Competition for Clinical Training Sites",2016,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999084658&doi=10.1097%2fACM.0000000000001428&partnerID=40&md5=c0fd0d4e79eebdc96c6e419477c7e123",Letter,Scopus,2-s2.0-84999084658
"Agaba E., Pomeroy-Stevens A., Ghosh S., Griffiths J.K.","Assessing Progress in Implementing Uganda's Nutrition Action Plan: District-Level Insights",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000741789&doi=10.1177%2f0379572116674553&partnerID=40&md5=4fe82a0ba7d9766848257ed9e5c9cd25",Article,Scopus,2-s2.0-85000741789
"Lamstein S., Pomeroy-Stevens A., Webb P., Kennedy E.","Optimizing the Multisectoral Nutrition Policy Cycle: A Systems Perspective",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000450744&doi=10.1177%2f0379572116675994&partnerID=40&md5=e9fa2091e0b7cbaf9d532dc339c0f038",Article,Scopus,2-s2.0-85000450744
"Kennedy E., Fekadu H., Ghosh S., Baral K., Davis D., Sapkota D., Webb P.","Implementing Multisector Nutrition Programs in Ethiopia and Nepal: Challenges and Opportunities from a Stakeholder Perspective",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000644809&doi=10.1177%2f0379572116674552&partnerID=40&md5=1ac8a6592737bc5af3daf92300edfa98",Article,Scopus,2-s2.0-85000644809
"Spolaore E., Wacziarg R.","War and relatedness",2016,"Review of Economics and Statistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004109078&doi=10.1162%2fREST_a_00554&partnerID=40&md5=83bb1c0836addbc31489932b64095527",Article,Scopus,2-s2.0-85004109078
"Morgan E., Levy R.","Abstract knowledge versus direct experience in processing of binomial expressions",2016,"Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992523171&doi=10.1016%2fj.cognition.2016.09.011&partnerID=40&md5=f69d401dcb0d75feafa4f030e51409a4",Article,Scopus,2-s2.0-84992523171
"Brunyé T.T., Moran J.M., Houck L.A., Taylor H.A., Mahoney C.R.","Registration errors in beacon-based navigation guidance systems: Influences on path efficiency and user reliance",2016,"International Journal of Human Computer Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979762854&doi=10.1016%2fj.ijhcs.2016.07.008&partnerID=40&md5=22ac8b7b018851ba044238d458a67041",Article,Scopus,2-s2.0-84979762854
"Webb P., Ghosh S., Shrestha R., Namirembe G., Gurung S., Sapkota D., Bell W.F., Davis D., Kennedy E., Neupane S., Manohar S., Baral K.","Measuring Nutrition Governance: An Analysis of Commitment, Capability, and Collaboration in Nepal",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000658859&doi=10.1177%2f0379572116674856&partnerID=40&md5=ab842fe02ee9710bc2fb48d5ac4ccd7b",Article,Scopus,2-s2.0-85000658859
